Producent;Typer;Koder;KodeBeskrivelser;Fejl;Prioritering;Løsningsforslag;Varenumer prioritet 1;Varenummer prioritet 2;Varenummer prioritet 3;Koder (service - resultet);KodeBeskrivelser (service);Fejl (service);Spørgsmål 1;Spørgsmål 2;Spørgsmål 3;Kunden kan prøve;Send tekniker ja / nej;URL-links;URL-links_Kundeserviceinformationer;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. På bordpladen. Ingen yderligere information.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. På bordpladen. Ingen yderligere information.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden på bordpladen under maskinen?;Ingen yderligere information.;;Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.;;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. På bordpladen. Spildbakken.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. På bordpladen. Spildbakken.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden på bordpladen under maskinen?;Er det fra spildbakken?;;"[1] Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.

[2] Kunden skal derudover undersøge, om der er snavs eller blokeringer, der forhindre vandet i at løbe ud af spildbakken.";;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. På bordpladen. Ved vandtilslutningen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. På bordpladen. Ved vandtilslutningen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden på bordpladen under maskinen?;Er det fra vandtilslutningen på maskinen?;;Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.;;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. På bordpladen. Ved afløbsslangen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. På bordpladen. Ved afløbsslangen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden på bordpladen under maskinen?;Er det fra afløbsslangen? (Ikke alle har);;"[1] Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.

[2] Kunden skal derudover kontrollere, om afløbsslangen er korrekt tilsluttet maskinen. Nogle gange kan den falde af, især hvis maskinen er blevet rykket eller flyttet";;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. På bordpladen. Ved bagsiden af maskinen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. På bordpladen. Ved bagsiden af maskinen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden på bordpladen under maskinen?;Er det ved bagsiden af maskinen?;;Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.;;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. På bordpladen. Ved fronten af maskinen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. På bordpladen. Ved fronten af maskinen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden på bordpladen under maskinen?;Er det ved fronten af maskinen?;;Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.;;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. På bordpladen. Ved venstre side af maskinen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. På bordpladen. Ved venstre side af maskinen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden på bordpladen under maskinen?;Er det fra venstre side af maskinen?;;Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.;;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. På bordpladen. Ved højre side af maskinen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. På bordpladen. Ved højre side af maskinen.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden på bordpladen under maskinen?;Er det fra højre side af maskinen?;;Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.;;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. Inde i maskinen. Ingen yderligere information.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. Inde i maskinen. Ingen yderligere information.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden inde i maskinen?;Ingen yderligere information.;;Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.;;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. Inde i maskinen. Til venstre.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. Inde i maskinen. Til venstre.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden inde i maskinen?;Er det til venstre i maskinen?;;Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.;;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. Inde i maskinen. Til højre.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. Inde i maskinen. Til højre.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden inde i maskinen?;Er det til højre i maskinen?;;Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.;;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. Inde i maskinen. Foran.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. Inde i maskinen. Foran.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden inde i maskinen?;Er det foran i maskinen?;;Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.;;;;;;;;;;;;
Carimali;Ultra;Maskinen er utæt med ingrediens. Inde i maskinen. Bagved.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;1;Kontroller maskinen for lækager.;;;;Maskinen er utæt med ingrediens. Inde i maskinen. Bagved.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Maskinen er utæt med ingrediens. kakao. mælkepulver. Chai-latte.;Er utætheden inde i maskinen?;Er det bagved i maskinen?;;Kunden skal sørge for at ingrediensenheden er rengjort, og kontrollere, om der er nogen forstoppelser eller blokeringer, der kan påvirke kakaofunktionen.;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 1;Komponentfejl;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);1;Efterse at bryggeren er samlet korrekt og ikke er blokeret.;;;;GROUP ERROR - 1;GROUP ERROR - 1;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 1;Komponentfejl;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);2;Kontroller sikringen på printet ( øverste højre hjørne ( 2F (3,15A T) );;;;GROUP ERROR - 1;GROUP ERROR - 1;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 1;Komponentfejl;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);3;Efterse brygmoteren - skift motor om nødvendigt.;106227;106675;;GROUP ERROR - 1;GROUP ERROR - 1;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 2;Komponentfejl;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);1;Efterse at bryggeren er samlet korrekt og ikke er blokeret.;;;;GROUP ERROR - 2;GROUP ERROR - 2;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 2;Komponentfejl;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);2;Kontroller sikringen på printet ( øverste højre hjørne ( 2F (3,15A T) );;;;GROUP ERROR - 2;GROUP ERROR - 2;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 2;Komponentfejl;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);3;Efterse brygmoteren - skift motor om nødvendigt.;106227;106675;;GROUP ERROR - 2;GROUP ERROR - 2;Brygmotorens ENCODER måler, at nedereste piston ikke når ned til nedereste position (basepositionen);;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 3;Komponentfejl;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;1;Efterse at bryggeren er samlet korrekt og ikke er blokeret.;;;;GROUP ERROR - 3;GROUP ERROR - 3;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 3;Komponentfejl;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;2;Kontroller sikringen på printet ( øverste højre hjørne ( 2F (3,15A T) );;;;GROUP ERROR - 3;GROUP ERROR - 3;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 3;Komponentfejl;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;3;Efterse brygmoteren - skift motor om nødvendigt.;106227;106675;;GROUP ERROR - 3;GROUP ERROR - 3;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 4;Komponentfejl;Der er en komponentfejl på grumseskrabersystemet;1;Efterse at bryggeren er samlet korrekt og ikke er blokeret.;;;;GROUP ERROR - 4;GROUP ERROR - 4;Der er en komponentfejl på grumseskrabersystemet;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 4;Komponentfejl;Der er en komponentfejl på grumseskrabersystemet;2;Kontroller sikringen på printet ( øverste højre hjørne ( 2F (3,15A T) );;;;GROUP ERROR - 4;GROUP ERROR - 4;Der er en komponentfejl på grumseskrabersystemet;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 4;Komponentfejl;Der er en komponentfejl på grumseskrabersystemet;3;Efterse brygmoteren - skift motor om nødvendigt.;106227;106675;;GROUP ERROR - 4;GROUP ERROR - 4;Der er en komponentfejl på grumseskrabersystemet;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 5;Komponentfejl;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;1;Efterse at bryggeren er samlet korrekt og ikke er blokeret.;;;;GROUP ERROR - 5;GROUP ERROR - 5;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 5;Komponentfejl;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;2;Kontroller sikringen på printet ( øverste højre hjørne ( 2F (3,15A T) );;;;GROUP ERROR - 5;GROUP ERROR - 5;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 5;Komponentfejl;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;3;Efterse brygmoteren - skift motor om nødvendigt.;106227;106675;;GROUP ERROR - 5;GROUP ERROR - 5;Brygmotorens ENCODER måler, at bryggerens piston ikke er i den korrekte position.;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 6;Komponentfejl;Brygmotorens ENCODER måler, at bryggerens piston ikke når den korrekte 'opstignings' position;1;Efterse at bryggeren er samlet korrekt og ikke er blokeret.;;;;GROUP ERROR - 6;GROUP ERROR - 6;Brygmotorens ENCODER måler, at bryggerens piston ikke når den korrekte 'opstignings' position;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 6;Komponentfejl;Brygmotorens ENCODER måler, at bryggerens piston ikke når den korrekte 'opstignings' position;2;Kontroller sikringen på printet ( øverste højre hjørne ( 2F (3,15A T) );;;;GROUP ERROR - 6;GROUP ERROR - 6;Brygmotorens ENCODER måler, at bryggerens piston ikke når den korrekte 'opstignings' position;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 6;Komponentfejl;Brygmotorens ENCODER måler, at bryggerens piston ikke når den korrekte 'opstignings' position;3;Efterse brygmoteren - skift motor om nødvendigt.;106227;106675;;GROUP ERROR - 6;GROUP ERROR - 6;Brygmotorens ENCODER måler, at bryggerens piston ikke når den korrekte 'opstignings' position;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 7;Komponentfejl;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;1;Efterse at bryggeren er samlet korrekt og ikke er blokeret.;;;;GROUP ERROR - 7;GROUP ERROR - 7;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 7;Komponentfejl;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;2;Kontroller sikringen på printet ( øverste højre hjørne ( 2F (3,15A T) );;;;GROUP ERROR - 7;GROUP ERROR - 7;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 7;Komponentfejl;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;3;Efterse brygmoteren - skift motor om nødvendigt.;106227;106675;;GROUP ERROR - 7;GROUP ERROR - 7;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 8;Komponentfejl;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;1;Efterse at bryggeren er samlet korrekt og ikke er blokeret.;;;;GROUP ERROR - 8;GROUP ERROR - 8;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 8;Komponentfejl;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;2;Kontroller sikringen på printet ( øverste højre hjørne ( 2F (3,15A T) );;;;GROUP ERROR - 8;GROUP ERROR - 8;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 8;Komponentfejl;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;3;Efterse brygmoteren - skift motor om nødvendigt.;106227;106675;;GROUP ERROR - 8;GROUP ERROR - 8;Brygmotorens ENCODER måler, at bryggeren ikke har den korrekt position under 'lukningen' af bryggeren / øvereste piston lukker ikke brygkammeret;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
Carimali;BlueDot;GROUP ERROR - 9;Komponentfejl;Bryggerens piston har ikke nået de aktuelle værdier, der er nødvendige for at udføre produktudleveringen.;1;Efterse at bryggeren er samlet korrekt og ikke er blokeret.;;;;GROUP ERROR - 9;GROUP ERROR - 9;Bryggerens piston har ikke nået de aktuelle værdier, der er nødvendige for at udføre produktudleveringen.;;;;Kunden kan efterse om bryggeren er rengjort og samlet korrekt. OBS: Henvis til video på hjemmeside om hjælp til selvhjælp.;;https://bentax.sharepoint.com/:b:/g/ERsgH_fOgt1KixsXAuc5iHsBzG-RjhalacyZYChAPTxz6w?e=Wm8CLV;https://www.bentax.dk/hjaelp-til-selvhjaelp/;;;;;;;;;
